prNumber,prTitle,repo
8550,Update EIP-4762: reworked gas schedule from interop,EIPs
8549,CI: Get,EIPs
8548,Update EIP-6493: Add `chain_id` and move tx `type` to start,EIPs
8545,Update EIP-7702: Warm Signers,EIPs
8544,Update EIP-7600: Update eip-7600.md,EIPs
8543,Add EIP: NONREENTRANT and REENTRANT opcodes,EIPs
8539,Update EIP-7702: Prohibit `SSTORE`,EIPs
8537,Update EIP-1474: Update eip-1474.md Fixing the net_version usage example (adding missed comma and deleting the excess onse) ,EIPs
8536,Add EIP: Historical Validity for ERC1271 Signatures,EIPs
8535,Update EIP-7069: EIP-7069 - Add Address Space Extension check,EIPs
8534,Update EIP-7664: Move to Withdrawn,EIPs
8533,Update EIP-7702: Flags for what to sign over and whether to keep code at the end.,EIPs
8532,Add EIP: Set EOA account code for one transaction,EIPs
8530,Update EIP-7623: Move to Withdrawn,EIPs
8529,Add EIP: Increase calldata cost,EIPs
8528,Add EIP: Set EOA account code for one transaction,EIPs
8527,Add EIP: Set EOA account code for one transaction,EIPs
8526,CI: Rename auto-review-bot.yml to auto-review-bot.yml,EIPs
8525,Update EIP-6493: Convert to `StableContainer` for serialization tests,EIPs
8524,Update EIP-7495: fix property accessors for `Variant[S]`,EIPs
8523,Create Blastoff,EIPs
8522,"Update EIP-7620: Remove TXCREATE, InitcodeTransaction and the Creator Contract",EIPs
8518,Create SECURITY.md,EIPs
8517,CI: Amjad08 a patch 1,EIPs
8516,Add EIP: Native Account Abstraction with EOF,EIPs
8515,Update EIP-2935: fix the input validation as 32 byte calldataload,EIPs
8514,Update EIP-2935: restrict contract input to 8 bytes to prevent overflow in checks,EIPs
8513,Update EIP-7658: Move to Review,EIPs
8512,"Update EIP-7658: Only extends state, no security implications",EIPs
8511,Update EIP-7495: Add `Variant[S]` to abstract,EIPs
8510,Update EIP-1: it's -> its,EIPs
8509,Add EIP: Hardfork Meta - Dencun,EIPs
8508,Update EIP-5792: Change category to ERC,EIPs
8507,Update EIP-3074: clarify handling of incorrect nonce,EIPs
8506,Update EIP-7069: Extend rationale about gas costs,EIPs
8504,Add EIP: Soul Resonance Token,EIPs
8503,Update EIP-1: Document EEST,EIPs
8502,Update EIP-7002: make 7685 ordering explicit,EIPs
8501,Update EIP-7685: clarify intra-type ordering,EIPs
8500,Update EIP-7600: Move to Review,EIPs
8498,Add EIP: EOF - Creation transaction,EIPs
8497,Update EIP-2537: Finalizing test vectors for EIP-2537,EIPs
8496,Finalizing test verctors for EIP-2537,EIPs
8495,Update EIP-2935: rephrase a statement,EIPs
8488,Update EIP-2935: note possible ADD overflow,EIPs
8487,Update EIP-2935: replace MOD with AND,EIPs
8486,Update actions/checkout digest to 1d96c77 - autoclosed,EIPs
8485,Update DavidAnson/markdownlint-cli2-action digest to d213578,EIPs
8484,chore(deps): update davidanson/markdownlint-cli2-action digest to d213578,EIPs
8483,chore(deps): update actions/upload-artifact digest to 79616d2,EIPs
8481,Update EIP-6206: adjust for new stack validation algorithm,EIPs
8480,Update EIP-5000: Fix abstract for 0 special case,EIPs
8477,Update EIP-7002: inhibit early use of queue,EIPs
8476,Update EIP-7002: Fix after renaming fields (exit->count),EIPs
8475,EIP-7503 stagnant (2024-Apr-21st@00.17.48),EIPs
8474,Update EIP-6110: get rid of Deposit struct definition,EIPs
8473,"Update EIP-6110: put deposits into request struct, take 2",EIPs
8472,Update EIP-698: fix comment,EIPs
8471,Update EIP-7623: Add further clarification,EIPs
8470,chore(deps): update dependency ubuntu to v22,EIPs
8469,Update EIP-7002: convert to use 7685 requests,EIPs
8468,chore(deps): update dependency github-pages to v231,EIPs
8467,chore(deps): update actions/upload-pages-artifact action to v3,EIPs
8466,Update EIP-7685: General purpose execution layer requests,EIPs
8465,chore(deps): update actions/deploy-pages action to v4,EIPs
8464,chore(deps): update actions/configure-pages action to v5,EIPs
8463,Config: Disable renovate,EIPs
8462,chore(deps): update dependency html-proofer to v5.0.8,EIPs
8461,chore(deps): update andstor/file-existence-action digest to 31a5027,EIPs
8460,chore(deps): update actions/stale digest to 3f3b017,EIPs
8459,chore(deps): update actions/setup-node digest to c2ac33f,EIPs
8458,chore(deps): update actions/checkout digest to 1d96c77,EIPs
8457,chore(deps): update actions-ecosystem/action-add-labels digest to 1a9c371,EIPs
8456,Update EIP-2537: Rephrased subgroup check part,EIPs
8455,Update EIP-2537: Update eip-2537.md - minor change in Field to curve mapping,EIPs
8452,Add EIP: Blob throughput increase,EIPs
8451,Update EIP-7685: simplify cl behavior,EIPs
8450,Update EIP-5792: Move to Review,EIPs
8449,Update EIP-2537: EIP-2537 update test vectors,EIPs
8448,Add EIP: EVM Object Format (EOFv1) Meta,EIPs
8447,chore(deps): update actions/upload-artifact digest to b06cde3,EIPs
8446,chore(deps): update ruby/setup-ruby action to v1.174.0,EIPs
8445,Update EIP-3074: Explain `nonce` and `chainId` better,EIPs
8443,Update EIP-2537 update test vectors,EIPs
8442,Add EIP: Union Lock,EIPs
8441,Config: Allow links to final CAIPs in linter (Draft),EIPs
8440,Update EIP-6110: put deposits into request struct,EIPs
8439,Add EIP: Forward compatible consensus data structures,EIPs
8437,Update EIP-2537: Rollback and fix formula,EIPs
8436,Update EIP-7495: Compact serialization for `Variant[S]`,EIPs
8435,Add EIP: Linear EVM memory limits,EIPs
8434,Update EIP-3074: Update eip-3074.md,EIPs
8433,access-key opcode,EIPs
8432,Add EIP: General purpose execution layer requests,EIPs
8430,Update EIP-3074: fail if account has code,EIPs
8429,"Update EIP-3074: update diagrams, add delegate use case",EIPs
8428,Update EIP-3074: explain `nonce` and `chainId` in rationale,EIPs
8427,Update EIP-7519: Move to Stagnant,EIPs
8426,EIP-7378 stagnant (2024-Apr-14th@00.20.16),EIPs
8425,EIP-6873 stagnant (2024-Apr-14th@00.20.6),EIPs
8424,EIP-3091 stagnant (2024-Apr-14th@00.19.56),EIPs
8423,EIP-3085 stagnant (2024-Apr-14th@00.19.47),EIPs
8418,Update EIP-698: Remove repetitive words,EIPs
8417,Update EIP-3074: Fix typos and grammar,EIPs
8414,Update EIP-2537: Fix conflicting gas formula,EIPs
8412,Update EIP-3074: Update eip-3074.md,EIPs
8409,Update EIP-2537: Update eip-2537.md - test for pairing operation,EIPs
8408,Add EIP: Return deposits for distinct credentials,EIPs
8407,Update EIP-3074: Add `AUTHORIZED` opcode,EIPs
8406,"Update EIP-7002: add support for partial withdrawals, rename exits",EIPs
8405,Update EIP-3074: Update eip-3074.md,EIPs
8403,Update EIP-7600: ACDE 185 Updates,EIPs
8402,RIPs Rendering,EIPs
8400,Update EIP-7667: Update eip-7667.md - add missing word,EIPs
8397,Update EIP-7587: Move to Last Call,EIPs
8396,"Update EIP-5792: Fine-tune the ""capability"" rhetoric of EIP-5792 (plus non-normative wordsmithing as a bonus)",EIPs
8395,Update EIP-5792: revert 5792 editorial changes,EIPs
8394,Update EIP-2982: Fix typos,EIPs
8393,Update EIP-2537: Rename multiexponentiation to MSM,EIPs
8392,Update EIP-5792: Add showCallsStatus,EIPs
8391,Update EIP-7002: Fix typo on link to CL specs,EIPs
8390,Update EIP-152: Fix reference test,EIPs
8389,Add EIP: Retroactively Included EIPs,EIPs
8388,Update EIP-5450: Align with EOF megaspec,EIPs
8387,Update EIP-5792: Editorial updates to EIP-5792,EIPs
8386,Create devcontainer.json,EIPs
8385,Add EIP: EOF - Prepare for Address Space Extension,EIPs
8384,Update EIP-5792: Fix typo,EIPs
8383,Update EIP-7620: Update InitcodeTransaciton validation,EIPs
8381,Update EIP-7623: Adjust Token from 16 to 12,EIPs
8380,Update EIP-7667: Update eip-7667.md,EIPs
8378,Add EIP: EVM-ify the identity precompile,EIPs
8377,Update EIP-2255: Fix code examples,EIPs
8376,Add EIP: EVM-ify the identity precompile,EIPs
8375,Add EIP: Bitcoin Proof-of-Stake,EIPs
8374,Add EIP: EXTSELFDESTRUCT Opcode,EIPs
8372,Add EIP: Reduced Attestation Format,EIPs
8370,CI: Update jekyll.yml,EIPs
8368,Add EIP: Remove bloom filters,EIPs
8367,Add EIP: Raise gas costs of hash functions,EIPs
8366,Add EIP: EVM-ify the identity precompile,EIPs
8364,Update EIP-7636: Move to Review,EIPs
8363,Update actions/configure-pages action to v5,EIPs
8362,Update EIP-7044: Move to Final,EIPs
8361,Update EIP-5792: Move to Draft,EIPs
8360,Update EIP-5656: Move to Last Call,EIPs
8359,"Update EIP-1: fix typo in exec spec tests link""",EIPs
8358,Update EIP-7620: Expand the Rationale section & clarifications,EIPs
8357,Add EIP: Access-Key opcode,EIPs
8355,Add EIP: New `eth_checkMethodSupport` for JSON-RPC,EIPs
8354,Update EIP-6800: remove gas reform section,EIPs
8353,Create SECURITY.md,EIPs
8349,Config: Allow links to execution-spec-tests,EIPs
8348,Add EIP: A Protocol for ERC20 Tokens Which Released Based On Predefined Periods Controlled by Smart Contracts,EIPs
8347,Update EIP-7609: update security considerations with reference points,EIPs
8346,Update EIP-5656: Move to Final,EIPs
8345,Update EIP-7044: Move to Final,EIPs
8344,Update EIP-7600: Add MaxEB + ILs,EIPs
8343,Add EIP: Stepwise Blob Throughput Increase,EIPs
8341,Add EIP: Light client data backfill,EIPs
8340,Add EIP: Sync committee slashings,EIPs
8338,Update EIP-1: fix typo in exec spec tests link,EIPs
8337,Update EIP-7045: Move to Final,EIPs
8336,Update EIP-6780: Move to Final,EIPs
8335,Update EIP-4844: Move to Final,EIPs
8334,Update EIP-7569: Move to Final,EIPs
8333,Update EIP-1153: Move to Final,EIPs
8332,Update EIP-3026: remove repetitive word,EIPs
8331,Update EIP-1015: Fix typo,EIPs
8330,Bump nokogiri from 1.14.3 to 1.16.3,EIPs
8329,Update EIP-3074: allow authorized to send value,EIPs
8324,Update EIP-7547: Change modification to payload attribute SSE event,EIPs
8323,Update EIP-7620: minor fixes and clarifications in the spec,EIPs
8322,Update EIP-2537: Rephrased subgroup check part,EIPs
8321,Update EIP-7514: Move to Final,EIPs
8320,Update EIP-7044: Move to Final,EIPs
8319,Update EIP-7377: Move to Draft,EIPs
8318,Update EIP-4788: Move to Final,EIPs
8317,Update EIP-7516: fix blobbasefee opcode number in nominal test case,EIPs
8316,Update EIP-4844: Update blob base fee to base fee per blob gas,EIPs
8315,Update EIP-5806: grammar correction,EIPs
8314,Update actions/setup-node digest to c2ac33f,EIPs
8313,Update EIP-2537: adding test vectors,EIPs
8312,Update EIP-4750: align with EOF Megaspec,EIPs
8311,Update EIP-4200: Move to Review,EIPs
8310,Update EIP-2537: Update eip-2537.md,EIPs
8309,Update EIP-2537: rename PAIRING to PAIRING_CHECK; introduce PAIRING_PRODUCT precomiple,EIPs
8307,Update EIP-2537: Update eip-2537.md,EIPs
8306,Update EIP-7620: Move to Review,EIPs
8305,Update EIP-3670: Align with EOF Megaspec and other EIPs,EIPs
8304,Update EIP-2930: Update eip-2930.md,EIPs
8303,Update EIP-7569: Update eip-7569.md,EIPs
8302,Update EIP-6800: change tree key hashing,EIPs
8301,Add EIP: Ground Zero,EIPs
8300,Add EIP: Programmable access lists,EIPs
8298,Update EIP-5173: update eip-5173.md,EIPs
