eip,unified_compound,unified_pos,unified_neg,unified_neu,total_comment_count,category
4844,0.4640593901830764,0.11983017737451157,0.03622641167675362,0.8438961468022503,106.0,Core
4863,0.3912996739169385,0.07199994000005001,0.013999988333343058,0.9139992383339681,12.0,Core
4895,-0.1047749825375029,0.08029998661666889,0.06694998884166853,0.8527498578750237,60.0,Core
4938,-0.24803250655831147,0.0066666444445185186,0.018999936666877774,0.9746634177886073,3.0,Networking
5000,0.29099993386365136,0.0697272568801689,0.011999997272727892,0.9182725185744276,44.0,Core
5003,0.31055699497285955,0.055285687959196216,0.03957140972790013,0.9049995690478242,21.0,Core
5023,0.6133994888337594,0.11266657277785604,0.012166656527786226,0.875165937361719,12.0,ERC
5069,0.12673291089029703,0.04199986000046666,0.0,0.9579968066773111,3.0,Meta
5081,0.27825496521812937,0.126799984150002,0.0886499889187514,0.7846499019187622,80.0,Core
5133,-0.011972721830580969,0.13299993954548203,0.14136357210746722,0.7254542157026292,22.0,Core
5139,0.5542230058688453,0.11607690819526818,0.019846151301775476,0.864307581499028,78.0,ERC
5189,0.41517113202062,0.11199992000005715,0.055499960357171176,0.8324994053575676,14.0,ERC
5202,0.269866554222269,0.050666645555564355,0.004166664930556279,0.9451662728473864,24.0,ERC
5219,0.5244153269873267,0.10676921903634955,0.004538461039729555,0.888692210033823,91.0,ERC
5283,0.4072244909693863,0.16224979718775354,0.04174994781256524,0.7959990050012439,8.0,Core
5450,0.2599666305601902,0.06277776905864317,0.0359999950000007,0.9015554303395236,72.0,Core
5453,0.5842768331881795,0.144076900911246,0.005153845360946868,0.8506921768165882,65.0,ERC
5478,0.567390737154322,0.13509086815428237,0.02954544559228921,0.8352724741598563,33.0,Core
5489,0.4086284741360776,0.10814283139456395,0.03399999190476382,0.8579997957143343,42.0,ERC
5559,0.415799307001155,0.054999908333486114,0.010499982500029167,0.934498442502596,6.0,ERC
5564,0.5095332908722257,0.09593332533888956,0.04739999605000032,0.8566665952777837,120.0,ERC
