prNumber,prTitle,repo,eip,proposed_status
7816,Update EIP-6963: Move to Final,EIPs,6963,Final
7813,Update EIP-7503: Move to Review,EIPs,7503,Review
7812,Update EIP-6809: Move to Final,EIPs,6809,Final
7811,Update EIP-6808: Move to Final,EIPs,6808,Final
7804,Update EIP-7053: Move to Final,EIPs,7053,Final
7801,Update EIP-6982: Move to Last Call,EIPs,6982,Last Call
7787,Update EIP-7231: Move to Last Call,EIPs,7231,Last Call
7780,Update EIP-6963: Move to Last Call,EIPs,6963,Last Call
7779,Update EIP-7201: Move to Last Call,EIPs,7201,Last Call
7773,Update EIP-5485: Move to Review,EIPs,5485,Review
7766,Update EIP-1767: Move to Draft,EIPs,1767,Draft
7763,Update EIP-7201: Move to Review,EIPs,7201,Review
7746,Update EIP-7432: Move to Review,EIPs,7432,Review
7740,Update EIP-7514: Move to Review,EIPs,7514,Review
7737,Update EIP-7508: Move to Review,EIPs,7508,Review
7736,Update EIP-7409: Move to Last Call,EIPs,7409,Last Call
7735,Update EIP-7401: Move to Final,EIPs,7401,Final
7731,Update EIP-4881: Move to Final,EIPs,4881,Final
7718,Update EIP-7329: Move to Final,EIPs,7329,Final
7708,Update EIP-5269: Move to Last Call,EIPs,5269,Last Call
7697,Update EIP-5450: Move to Review,EIPs,5450,Review
7695,Update EIP-5982: Move to Review,EIPs,5982,Review
7694,Update EIP-5269: Move to Review,EIPs,5269,Review
7693,Update EIP-5453: Move to Last Call,EIPs,5453,Last Call
7692,Update EIP-5247: Move to Review,EIPs,5247,Review
7690,Update EIP-5453: Move to Review,EIPs,5453,Review
7689,Update EIP-7432: Move to Last Call,EIPs,7432,Last Call
7687,Update EIP-7231: Move to Review,EIPs,7231,Review
7686,Update EIP-6809: Move to Last Call,EIPs,6809,Last Call
7685,Update EIP-6808: Move to Last Call,EIPs,6808,Last Call
7684,Update EIP-6809: Move to Last Call,EIPs,6809,Last Call
7683,Update EIP-6808: Move to Last Call,EIPs,6808,Last Call
7679,Update EIP-5585: Move to Last Call,EIPs,5585,Last Call
7670,Update EIP-7053: Move to Last Call,EIPs,7053,Last Call
7667,Update EIP-7092: Move to Review,EIPs,7092,Review
7660,Update EIP-223: Move to Final,EIPs,223,Final
7648,Update EIP-5725: Move to Final,EIPs,5725,Final
7647,Update EIP-5564: Move to Review,EIPs,5564,Review
7645,Update EIP-7401: Move to Last Call,EIPs,7401,Last Call
7640,Update EIP-6492: Move to Final,EIPs,6492,Final
7637,Update EIP-5114: Move to Last Call,EIPs,5114,Last Call
7632,Update EIP-5521: Move to Review,EIPs,5521,Review
7622,Update EIP-6538: Move to Stagnant,EIPs,6538,Stagnant
7595,Update EIP-5593: Move to Stagnant,EIPs,5593,Stagnant
7587,Update EIP-5450: Move to Stagnant,EIPs,5450,Stagnant
7578,Update EIP-5139: Move to Stagnant,EIPs,5139,Stagnant
7548,Update EIP-7495: Move to Review,EIPs,7495,Review
7543,Update EIP-5725: Move to Final,EIPs,5725,Final
7539,Update EIP-7409: Move to Review,EIPs,7409,Review
7535,Update EIP-2539: Move to Draft,EIPs,2539,Draft
7534,Update EIP-7160: Move to Review,EIPs,7160,Review
