prNumber,prTitle,repo,eip,proposed_status
9093,Update EIP-7542: Move to Withdrawn,EIPs,7542,Withdrawn
9095,Update EIP-7691: Move to Review,EIPs,7691,Review
9080,Update EIP-7503: Move to Draft,EIPs,7503,Draft
9167,Update EIP-7808: Move to Review,EIPs,7808,Review
9172,Update EIP-7709: Move to Stagnant,EIPs,7709,Stagnant
9139,Update EIP-7591: Move to Stagnant,EIPs,7591,Stagnant
9173,Update EIP-7716: Move to Stagnant,EIPs,7716,Stagnant
9170,Update EIP-7594: Move to Stagnant,EIPs,7594,Stagnant
9239,Update EIP-7549: Move to Review,EIPs,7549,Review
9235,Update EIP-7519: Move to Draft,EIPs,7519,Draft
9223,Update EIP-7840: Move to Review,EIPs,7840,Review
9199,Update EIP-101: Move to Draft,EIPs,101,Draft
9266,Update EIP-1898: Move to Review,EIPs,1898,Review
9265,Update EIP-7830: Move to Review,EIPs,7830,Review
9272,Update EIP-7823: Move to Review,EIPs,7823,Review
9338,Update EIP-7702: Move to Last Call,EIPs,7702,Last Call
9336,Update EIP-2935: Move to Last Call,EIPs,2935,Last Call
9360,Update EIP-7691: Move to Last Call,EIPs,7691,Last Call
9359,Update EIP-7623: Move to Last Call,EIPs,7623,Last Call
9339,Update EIP-7840: Move to Last Call,EIPs,7840,Last Call
9337,Update EIP-7691: Move to Last Call,EIPs,7691,Last Call
9335,Update EIP-2537: Move to Last Call,EIPs,2537,Last Call
9334,Update EIP-7723: Move to Last Call,EIPs,7723,Last Call
9330,Update EIP-3300: Move to Draft,EIPs,3300,Draft
9329,Update EIP-7251: Move to Last Call,EIPs,7251,Last Call
9328,Update EIP-7002: Move to Last Call,EIPs,7002,Last Call
9327,Update EIP-7685: Move to Last Call,EIPs,7685,Last Call
9326,Update EIP-6110: Move to Last Call,EIPs,6110,Last Call
9333,Update EIP-7600: Move to Last Call,EIPs,7600,Last Call
9317,Update EIP-7549: Move to Last Call,EIPs,7549,Last Call
9370,Update EIP-1898: Move to Last Call,EIPs,1898,Last Call
9154,Update EIP-7675: Move to Withdrawn,EIPs,7675,Withdrawn
9400,Update EIP-3155: Move to Last Call,EIPs,3155,Last Call
9385,Update EIP-3540: Move to Review,EIPs,3540,Review
9389,Update EIP-5920: Move to Draft,EIPs,5920,Draft
9412,Update EIP-7620: Move to Review,EIPs,7620,Review
9397,Update EIP-3155: Move to Stagnant,EIPs,3155,Stagnant
9458,Update EIP-4750: Move to Review,EIPs,4750,Review
9386,Update EIP-4750: Move to Review,EIPs,4750,Review
9527,Update EIP-663: Move to Review,EIPs,663,Review
9507,Update EIP-7870: Move to Review,EIPs,7870,Review
9587,Update EIP-7594: Move to Review,EIPs,7594,Review
9613,Update EIP-7880: Move to Review,EIPs,7880,Review
9612,Update EIP-7873: Move to Review,EIPs,7873,Review
9610,Update EIP-7761: Move to Review,EIPs,7761,Review
9609,Update EIP-7834: Move to Review,EIPs,7834,Review
9566,Update EIP-7872: Move to Review,EIPs,7872,Review
9554,Update EIP-7918: Move to Review,EIPs,7918,Review
9472,Update EIP-1898: Move to Final,EIPs,1898,Final
9237,Update EIP-7642: Move to Draft,EIPs,7642,Draft
9511,Update EIP-7708: Move to Stagnant,EIPs,7708,Stagnant
9611,Update EIP-5920: Move to Review,EIPs,5920,Review
9641,Update EIP-7642: Move to Review,EIPs,7642,Review
9626,Update EIP-7600: Move to Last Call,EIPs,7600,Last Call
9446,Update EIP-3540: Move to Review,EIPs,3540,Review
9663,Update EIP-5792: Move to Last Call,EIPs,5792,Last Call
9685,Update EIP-6916: Move to Final,EIPs,6916,Final
9741,Update EIP-2537: Move to Final,EIPs,2537,Final
9738,Update EIP-5792: Move to Final,EIPs,5792,Final
9743,Update EIP-2537: Move to Final,EIPs,2537,Final
9384,Update EIP-5920: Move to Draft,EIPs,5920,Draft
9771,Update EIP-3074: Move to Withdrawn,EIPs,3074,Withdrawn
9754,Update EIP-7840: Move to Final,EIPs,7840,Final
9752,Update EIP-7691: Move to Final,EIPs,7691,Final
9751,Update EIP-7685: Move to Final,EIPs,7685,Final
9750,Update EIP-7623: Move to Final,EIPs,7623,Final
9749,Update EIP-7549: Move to Final,EIPs,7549,Final
9748,Update EIP-7251: Move to Final,EIPs,7251,Final
9747,Update EIP-7002: Move to Final,EIPs,7002,Final
9746,Update EIP-6110: Move to Final,EIPs,6110,Final
9742,Update EIP-2935: Move to Final,EIPs,2935,Final
9790,Update EIP-7932: Move to Review,EIPs,7932,Review
9837,Update EIP-7788: Move to Withdrawn,EIPs,7788,Withdrawn
9799,Update EIP-7782: Move to Draft,EIPs,7782,Draft
9753,Update EIP-7702: Move to Final,EIPs,7702,Final
9857,Update EIP-7642: Move to Final,EIPs,7642,Final
9853,Update EIP-7932: Move to Review,EIPs,7932,Review
9836,Update EIP-7843: Move to Review,EIPs,7843,Review
9802,Update EIP-7778: Move to Draft,EIPs,7778,Draft
9774,Update EIP-7773: Move to Draft,EIPs,7773,Draft
9740,Update EIP-7600: Move to Final,EIPs,7600,Final
9856,Update EIP-7773: Move to Draft,EIPs,7773,Draft
9882,Update EIP-7950: Move to Review,EIPs,7950,Review
9870,Update EIP-7825: Move to Stagnant,EIPs,7825,Stagnant
9594,Update EIP-867: Move to Draft,EIPs,867,Draft
9538,Update EIP-7668: Move to Draft,EIPs,7668,Draft
18,Update EIP-7092: Move to Review,ERCs,7092,Review
17,Update EIP-7092: Move to Review,ERCs,7092,Review
15,Update EIP-7092: Move to Review,ERCs,7092,Review
11,Update EIP-7528: Move to Review,ERCs,7528,Review
7,Update EIP-6357: Move to Last Call,ERCs,6357,Last Call
